Antennes,Nombres Employés Antennes,Dépenses Employés Antennes,Nombres Employés Garages,Dépenses Employés Garages,Dépenses Loyer et Assurances,TOTAL (par antennes),
Car&Pair Havre,10,"10 650,50 €",20,"  27 350,50  € ","  1 650,00  € ","  39 651,00  € ",
Car&Pair Montauban,10,"13 900,00 €",20,"  22 402,00  € ","  2 250,00  € ","  38 552,00  € ",
Car&Pair Nancy,14,"16 550,50 €",16,"  17 503,00  € ","  2 630,00  € ","  36 683,50  € ",
Car&Pair Lyon,9,"9 600,00 €",21,"  28 252,50  € ","  3 980,00  € ","  41 832,50  € ",
TOTAL (Global),43,"50 701,00 €",77,"  95 508,00  € ","  10 510,00  € ","  156 719,00  € ",
,,,,,,,
,,,,,,,
Garages,Dépenses totale,Revenus total,Revenus réparations,Revenus locations,Bénéfices,,
Car&Pair (ex Le Carage),"  2 470,00  € ","  6 335,00  € ","  5 480,00  € ","  855,00  € ","  3 865,00  € ",, 
Car&Pair Montauban,"  2 770,00  € ","  6 115,00  € ","  5 220,00  € ","  895,00  € ","  3 345,00  € ",,
Car&Pair Nancy,"  3 570,00  € ","  5 365,00  € ","  4 350,00  € ","  1 015,00  € ","  1 795,00  € ",,
Car&Pair Lyon Centre,"  4 570,00  € ","  6 240,00  € ","  5 360,00  € ","  880,00  € ","  1 670,00  € ",,
 TOTAL (Global),"  13 380,00  € ","  24 055,00  € ","  20 410,00  € ","  3 645,00  € ","  10 675,00  € ",,
,,,,,,,
,,,,,,,
Garages,Nombre Total de Locations et de Prêt,Nombre Locations,Taux Locations,Nombre Prêts,Taux Prêts,,
Car&Pair (ex Le Carage),30,16,"53,33%",14,"46,67%",,
Car&Pair Montauban,30,16,"53,33%",14,"46,67%",,
Car&Pair Nancy,30,11,"36,67%",19,"63,33%",,
Car&Pair Lyon Centre,30,18,"60,00%",12,"40,00%",,
,,,,,,,
,,,,,,,
,,,,,,,
 CA Globale de l'entreprise,"(146 044,00) € ",,,,,,
